component_I,component_II,Temperature [K],mole_fraction,viscosity [m^2/s]
CCO,CO, 298, 0.00, 0.7042e-6
CCO,CO, 298, 0.10, 0.7566e-6
CCO,CO, 298, 0.20, 0.8106e-6
CCO,CO, 298, 0.30, 0.8790e-6
CCO,CO, 298, 0.40, 0.9386e-6
CCO,CO, 298, 0.50, 1.0057e-6
CCO,CO, 298, 0.60, 1.0802e-6
CCO,CO, 298, 0.70, 1.1576e-6
CCO,CO, 298, 0.80, 1.2294e-6
CCO,CO, 298, 0.90, 1.3193e-6
CCO,CO, 298, 1.00, 1.4023e-6
CC(C)O,CCCO, 293, 0.00, 2.7578e-6
CC(C)O,CCCO, 293, 0.0871, 2.7662e-6
CC(C)O,CCCO, 293, 0.1464, 2.7918e-6
CC(C)O,CCCO, 293, 0.2199, 2.8077e-6
CC(C)O,CCCO, 293, 0.3692, 2.8868e-6
CC(C)O,CCCO, 293, 0.4513, 2.9022e-6
CC(C)O,CCCO, 293, 0.5201, 2.9242e-6
CC(C)O,CCCO, 293, 0.6019, 2.9829e-6
CC(C)O,CCCO, 293, 0.7416, 3.0006e-6
CC(C)O,CCCO, 293, 0.8573, 3.0064e-6
CC(C)O,CCCO, 293, 0.9438, 3.0463e-6
CC(C)O,CCCO, 293, 1.00, 3.0808e-6
CC(C)O,CO, 293, 0.0, 0.7450e-6
CC(C)O,CO, 293, 0.1, 0.8175e-6
CC(C)O,CO, 293, 0.2, 0.9047e-6
CC(C)O,CO, 293, 0.3, 1.0132e-6
CC(C)O,CO, 293, 0.4, 1.1463e-6
CC(C)O,CO, 293, 0.5, 1.3049e-6
CC(C)O,CO, 293, 0.6, 1.4984e-6
CC(C)O,CO, 293, 0.7, 1.7503e-6
CC(C)O,CO, 293, 0.8, 2.0498e-6
CC(C)O,CO, 293, 0.9, 2.4602e-6
CC(C)O,CO, 293, 1.0, 3.0808e-6
CC(C)O,CCO, 293, 0.0, 1.5270e-6
CC(C)O,CCO, 293, 0.1, 1.5719e-6
CC(C)O,CCO, 293, 0.2, 1.6304e-6
CC(C)O,CCO, 293, 0.3, 1.7117e-6
CC(C)O,CCO, 293, 0.4, 1.8125e-6
CC(C)O,CCO, 293, 0.5, 1.9379e-6
CC(C)O,CCO, 293, 0.6, 2.0884e-6
CC(C)O,CCO, 293, 0.7, 2.2640e-6
CC(C)O,CCO, 293, 0.8, 2.4752e-6
CC(C)O,CCO, 293, 0.9, 2.7367e-6
CC(C)O,CCO, 293, 1.0, 3.0808e-6
CCCCCCC,C1=CC=CC=C1, 298, 0.0, 6.924107296186477e-07
CCCCCCC,C1=CC=CC=C1, 298, 0.095, 6.324298621017594e-07
CCCCCCC,C1=CC=CC=C1, 298, 0.1973, 5.957499078737256e-07
CCCCCCC,C1=CC=CC=C1, 298, 0.2999, 5.765331981753674e-07
CCCCCCC,C1=CC=CC=C1, 298, 0.3741, 5.635430038510911e-07
CCCCCCC,C1=CC=CC=C1, 298, 0.3984, 5.609787843290382e-07
CCCCCCC,C1=CC=CC=C1, 298, 0.4961, 5.52368245496998e-07
CCCCCCC,C1=CC=CC=C1, 298, 0.5995, 5.504712470973911e-07
CCCCCCC,C1=CC=CC=C1, 298, 0.6762, 5.513123177336483e-07
CCCCCCC,C1=CC=CC=C1, 298, 0.7309, 5.486873176830116e-07
CCCCCCC,C1=CC=CC=C1, 298, 0.7987, 5.560295790671217e-07
CCCCCCC,C1=CC=CC=C1, 298, 0.8933, 5.623825357814082e-07
CCCCCCC,C1=CC=CC=C1, 298, 1.0, 5.694358612165623e-07
CCO,CCCCCCC, 298, 0.0, 5.694358612165623e-07
CCO,CCCCCCC, 298, 0.1075, 5.767823159127508e-07
CCO,CCCCCCC, 298, 0.1999, 5.937136204889405e-07
CCO,CCCCCCC, 298, 0.3001, 6.255417509390349e-07
CCO,CCCCCCC, 298, 0.3932, 6.658075601374571e-07
CCO,CCCCCCC, 298, 0.5009, 7.315692656006791e-07
CCO,CCCCCCC, 298, 0.5079, 7.36812332060529e-07
CCO,CCCCCCC, 298, 0.6092, 8.157563905573405e-07
CCO,CCCCCCC, 298, 0.7009, 8.978413309500894e-07
CCO,CCCCCCC, 298, 0.8165, 1.0295698924731184e-06
CCO,CCCCCCC, 298, 0.9, 1.1616892514142875e-06
CCO,CCCCCCC, 298, 1.0, 1.3797144276452382e-06
C1=CC=CC=C1,CCO, 298, 0.0, 1.3797144276452382e-06
C1=CC=CC=C1,CCO, 298, 0.1059, 1.200250312891114e-06
C1=CC=CC=C1,CCO, 298, 0.1897, 1.0883007667573585e-06
C1=CC=CC=C1,CCO, 298, 0.2966, 9.685289094901198e-07
C1=CC=CC=C1,CCO, 298, 0.3983, 8.812537673297167e-07
C1=CC=CC=C1,CCO, 298, 0.4887, 8.134257047300526e-07
C1=CC=CC=C1,CCO, 298, 0.5993, 7.542262678803641e-07
C1=CC=CC=C1,CCO, 298, 0.6973, 7.150392685499941e-07
C1=CC=CC=C1,CCO, 298, 0.7987, 6.86046511627907e-07
C1=CC=CC=C1,CCO, 298, 0.8995, 6.715901223171012e-07
C1=CC=CC=C1,CCO, 298, 1.0, 6.924107296186477e-07
CC(=O)C,C1CCCCC1, 298, 0.0, 1.1479999999999999e-06
CC(=O)C,C1CCCCC1, 298, 0.0996, 9.504999999999999e-07
CC(=O)C,C1CCCCC1, 298, 0.2056, 8.148999999999999e-07
CC(=O)C,C1CCCCC1, 298, 0.3401, 6.915e-07
CC(=O)C,C1CCCCC1, 298, 0.3927, 6.58e-07
CC(=O)C,C1CCCCC1, 298, 0.5042, 5.73e-07
CC(=O)C,C1CCCCC1, 298, 0.5889, 5.336e-07
CC(=O)C,C1CCCCC1, 298, 0.6877, 4.835e-07
CC(=O)C,C1CCCCC1, 298, 0.8015, 4.3619999999999995e-07
CC(=O)C,C1CCCCC1, 298, 0.8872, 4.081e-07
CC(=O)C,C1CCCCC1, 298, 1.0, 3.831e-07
CC(=O)C,C1=CC=CC=C1, 298, 0.0, 6.844e-07
CC(=O)C,C1=CC=CC=C1, 298, 0.1311, 6.195000000000001e-07
CC(=O)C,C1=CC=CC=C1, 298, 0.3321, 5.419000000000001e-07
CC(=O)C,C1=CC=CC=C1, 298, 0.5194, 4.834e-07
CC(=O)C,C1=CC=CC=C1, 298, 0.6875, 4.4069999999999997e-07
CC(=O)C,C1=CC=CC=C1, 298, 0.8941, 4.036e-07
CC(=O)C,C1=CC=CC=C1, 298, 1.0, 3.831e-07
CC(=O)C,CC1=CC=CC=C1, 298, 0.0, 6.344999999999999e-07
CC(=O)C,CC1=CC=CC=C1, 298, 0.0096, 6.042e-07
CC(=O)C,CC1=CC=CC=C1, 298, 0.3257, 5.441e-07
CC(=O)C,CC1=CC=CC=C1, 298, 0.5026, 4.979e-07
CC(=O)C,CC1=CC=CC=C1, 298, 0.714, 4.4529999999999994e-07
CC(=O)C,CC1=CC=CC=C1, 298, 0.8769, 4.0819999999999996e-07
CC(=O)C,CC1=CC=CC=C1, 298, 1.0, 3.831e-07
CCCCCO,CCCCCCC, 298, 0.0, 5.741831027377097e-07
CCCCCO,CCCCCCC, 298, 0.0652, 6.006711409395974e-07
CCCCCO,CCCCCCC, 298, 0.1304, 6.430119959531724e-07
CCCCCO,CCCCCCC, 298, 0.2489, 7.443577004968062e-07
CCCCCO,CCCCCCC, 298, 0.3595, 8.961238148354714e-07
CCCCCO,CCCCCCC, 298, 0.4654, 1.1114763078608601e-06
CCCCCO,CCCCCCC, 298, 0.5682, 1.4001075557945683e-06
CCCCCO,CCCCCCC, 298, 0.6617, 1.7682652926410358e-06
CCCCCO,CCCCCCC, 298, 0.7552, 2.222395225120021e-06
CCCCCO,CCCCCCC, 298, 0.8805, 3.059203036053131e-06
CCCCCO,CCCCCCC, 298, 0.9606, 3.802462992909566e-06
CCCCCO,CCCCCCC, 298, 1.0, 4.3295917108671515e-06
CCCCCCO,CCCCCCC, 298, 0.0, 5.741831027377097e-07
CCCCCCO,CCCCCCC, 298, 0.0567, 6.424092168586847e-07
CCCCCCO,CCCCCCC, 298, 0.1134, 6.558347775852109e-07
CCCCCCO,CCCCCCC, 298, 0.2217, 7.75542015020547e-07
CCCCCCO,CCCCCCC, 298, 0.3279, 9.498053392658511e-07
CCCCCCO,CCCCCCC, 298, 0.4307, 1.1933679039301311e-06
CCCCCCO,CCCCCCC, 298, 0.5294, 1.5296797534503552e-06
CCCCCCO,CCCCCCC, 298, 0.6292, 2.003156233561284e-06
CCCCCCO,CCCCCCC, 298, 0.7248, 2.6440656076456154e-06
CCCCCCO,CCCCCCC, 298, 0.8643, 3.6855741416174066e-06
CCCCCCO,CCCCCCC, 298, 0.9526, 4.685258471432105e-06
CCCCCCO,CCCCCCC, 298, 1.0, 5.486519607843137e-06
CCCCCCCO,CCCCCCC, 298, 0.0, 5.741831027377097e-07
CCCCCCCO,CCCCCCC, 298, 0.0508, 6.206442166910688e-07
CCCCCCCO,CCCCCCC, 298, 0.1004, 6.693606581036225e-07
CCCCCCCO,CCCCCCC, 298, 0.2012, 8.156479909451047e-07
CCCCCCCO,CCCCCCC, 298, 0.3013, 1.0099861303744798e-06
CCCCCCCO,CCCCCCC, 298, 0.4001, 1.287600381107935e-06
CCCCCCCO,CCCCCCC, 298, 0.4992, 1.6598984771573604e-06
CCCCCCCO,CCCCCCC, 298, 0.5981, 2.23249409913454e-06
CCCCCCCO,CCCCCCC, 298, 0.699, 2.9110453141091656e-06
CCCCCCCO,CCCCCCC, 298, 0.85, 4.532146885574633e-06
CCCCCCCO,CCCCCCC, 298, 0.9456, 5.851879235982748e-06
CCCCCCCO,CCCCCCC, 298, 1.0, 7.046037367199903e-06
CCCCCCCCO,CCCCCCC, 298, 0.0, 5.741831027377097e-07
CCCCCCCCO,CCCCCCC, 298, 0.0448, 6.429091969100714e-07
CCCCCCCCO,CCCCCCC, 298, 0.0922, 7.209402942024807e-07
CCCCCCCCO,CCCCCCC, 298, 0.1826, 9.014423076923076e-07
CCCCCCCCO,CCCCCCC, 298, 0.278, 1.1362439362439361e-06
CCCCCCCCO,CCCCCCC, 298, 0.3705, 1.4585146898803047e-06
CCCCCCCCO,CCCCCCC, 298, 0.469, 1.952901934623082e-06
CCCCCCCCO,CCCCCCC, 298, 0.5664, 2.4919428796017293e-06
CCCCCCCCO,CCCCCCC, 298, 0.6697, 3.4720329175774726e-06
CCCCCCCCO,CCCCCCC, 298, 0.7784, 4.902208201892745e-06
CCCCCCCCO,CCCCCCC, 298, 0.8336, 5.682295573893473e-06
CCCCCCCCO,CCCCCCC, 298, 0.8844, 6.3540426587301585e-06
CCCCCCCCO,CCCCCCC, 298, 0.9381, 7.406442094910253e-06
CCCCCCCCO,CCCCCCC, 298, 1.0, 8.966147101802241e-06
CCCCCCCCCCO,CCCCCCC, 298, 0.0, 5.741831027377097e-07
CCCCCCCCCCO,CCCCCCC, 298, 0.0386, 6.328818989369448e-07
CCCCCCCCCCO,CCCCCCC, 298, 0.0772, 7.019161504106037e-07
CCCCCCCCCCO,CCCCCCC, 298, 0.1584, 9.055007052186178e-07
CCCCCCCCCCO,CCCCCCC, 298, 0.2472, 1.2005521048999309e-06
CCCCCCCCCCO,CCCCCCC, 298, 0.3368, 1.6566558441558442e-06
CCCCCCCCCCO,CCCCCCC, 298, 0.4264, 2.186670207116304e-06
CCCCCCCCCCO,CCCCCCC, 298, 0.5326, 3.0408428720083245e-06
CCCCCCCCCCO,CCCCCCC, 298, 0.6364, 4.202043422733078e-06
CCCCCCCCCCO,CCCCCCC, 298, 0.7498, 6.369232698094282e-06
CCCCCCCCCCO,CCCCCCC, 298, 0.8055, 7.367478866235704e-06
CCCCCCCCCCO,CCCCCCC, 298, 0.8688, 8.800714373691341e-06
CCCCCCCCCCO,CCCCCCC, 298, 0.9331, 1.0647094726562499e-05
CCCCCCCCCCO,CCCCCCC, 298, 1.0, 1.4264972776769511e-05
CCCCCCCCCCCCO,CCCCCCC, 298, 0.0, 5.741831027377097e-07
CCCCCCCCCCCCO,CCCCCCC, 298, 0.0343, 6.418800931315483e-07
CCCCCCCCCCCCO,CCCCCCC, 298, 0.0687, 7.39568345323741e-07
CCCCCCCCCCCCO,CCCCCCC, 298, 0.1389, 9.915469146238377e-07
CCCCCCCCCCCCO,CCCCCCC, 298, 0.2173, 1.354798676227248e-06
CCCCCCCCCCCCO,CCCCCCC, 298, 0.2965, 1.855423316202326e-06
CCCCCCCCCCCCO,CCCCCCC, 298, 0.392, 2.7015894039735097e-06
CCCCCCCCCCCCO,CCCCCCC, 298, 0.4898, 3.568737006237007e-06
CCCCCCCCCCCCO,CCCCCCC, 298, 0.5941, 5.1738742186503375e-06
CCCCCCCCCCCCO,CCCCCCC, 298, 0.7213, 7.478724739550648e-06
CCCCCCCCCCCCO,CCCCCCC, 298, 0.7853, 9.191668732953137e-06
CCCCCCCCCCCCO,CCCCCCC, 298, 0.8475, 1.1689375307427449e-05
CCCCCCCCCCCCO,CCCCCCC, 298, 0.9227, 1.4292153996101366e-05
CCCCCCCCCCCCO,CCCCCCC, 298, 1.0, 1.948556937567927e-05
CCCCC,CCCCCC, 298, 0.0, 4.5598180347138475e-07
CCCCC,CCCCCC, 298, 0.1045, 4.4442399705557595e-07
CCCCC,CCCCCC, 298, 0.2098, 4.3178105834129514e-07
CCCCC,CCCCCC, 298, 0.3107, 4.2178935307051507e-07
CCCCC,CCCCCC, 298, 0.4113, 4.1098022128507185e-07
CCCCC,CCCCCC, 298, 0.5105, 4.025963869555017e-07
CCCCC,CCCCCC, 298, 0.6025, 3.9246813259355894e-07
CCCCC,CCCCCC, 298, 0.7041, 3.844086871305283e-07
CCCCC,CCCCCC, 298, 0.7966, 3.7566742944317316e-07
CCCCC,CCCCCC, 298, 0.8997, 3.646133179811937e-07
CCCCC,CCCCCC, 298, 1.0, 3.5895950035413047e-07
CCCCC,CCCCCCC, 298, 0.0, 5.688221878908262e-07
CCCCC,CCCCCCC, 298, 0.1046, 5.467824128940507e-07
CCCCC,CCCCCCC, 298, 0.2024, 5.338842728642391e-07
CCCCC,CCCCCCC, 298, 0.3087, 5.000075189100588e-07
CCCCC,CCCCCCC, 298, 0.4077, 4.809543298015855e-07
CCCCC,CCCCCCC, 298, 0.4979, 4.5880807648837704e-07
CCCCC,CCCCCCC, 298, 0.5999, 4.3895071052063746e-07
CCCCC,CCCCCCC, 298, 0.6624, 4.2819049981396503e-07
CCCCC,CCCCCCC, 298, 0.7972, 3.991639558090928e-07
CCCCC,CCCCCCC, 298, 0.8929, 3.843893451085662e-07
CCCCC,CCCCCCC, 298, 1.0, 3.5895950035413047e-07
CCCCC,CCCCCCCC, 298, 0.0, 7.293605566850892e-07
CCCCC,CCCCCCCC, 298, 0.1059, 6.809622072468577e-07
CCCCC,CCCCCCCC, 298, 0.1973, 6.453817187886189e-07
CCCCC,CCCCCCCC, 298, 0.3019, 6.003903784910257e-07
CCCCC,CCCCCCCC, 298, 0.404, 5.641694583617444e-07
CCCCC,CCCCCCCC, 298, 0.5019, 5.309668239346963e-07
CCCCC,CCCCCCCC, 298, 0.6046, 4.892688250272826e-07
CCCCC,CCCCCCCC, 298, 0.7015, 4.546710041738276e-07
CCCCC,CCCCCCCC, 298, 0.8026, 4.205840234107465e-07
CCCCC,CCCCCCCC, 298, 0.9035, 3.881683011705157e-07
CCCCC,CCCCCCCC, 298, 1.0, 3.5895950035413047e-07
CCCCC,CCCCCCCCC, 298, 0.0, 9.246935201401051e-07
CCCCC,CCCCCCCCC, 298, 0.0925, 8.622392819847027e-07
CCCCC,CCCCCCCCC, 298, 0.1995, 7.903471658332976e-07
CCCCC,CCCCCCCCC, 298, 0.308, 7.222358209385035e-07
CCCCC,CCCCCCCCC, 298, 0.403, 6.628162416165967e-07
CCCCC,CCCCCCCCC, 298, 0.4861, 6.140080222153656e-07
CCCCC,CCCCCCCCC, 298, 0.6016, 5.506818249634469e-07
CCCCC,CCCCCCCCC, 298, 0.702, 4.950315075133301e-07
CCCCC,CCCCCCCCC, 298, 0.8033, 4.4584219776153927e-07
CCCCC,CCCCCCCCC, 298, 0.904, 3.9932030586236197e-07
CCCCC,CCCCCCCCC, 298, 1.0, 3.5895950035413047e-07
CCCCC,CCCCCCCCCC, 298, 0.0, 1.1646702464546332e-06
CCCCC,CCCCCCCCCC, 298, 0.1031, 1.0790817742741351e-06
CCCCC,CCCCCCCCCC, 298, 0.2082, 9.767070299360914e-07
CCCCC,CCCCCCCCCC, 298, 0.3062, 8.735609396904517e-07
CCCCC,CCCCCCCCCC, 298, 0.408, 7.808603937978275e-07
CCCCC,CCCCCCCCCC, 298, 0.5061, 6.993352106134062e-07
CCCCC,CCCCCCCCCC, 298, 0.6029, 6.308614166040958e-07
CCCCC,CCCCCCCCCC, 298, 0.7058, 5.431884231656529e-07
CCCCC,CCCCCCCCCC, 298, 0.804, 4.801405438435688e-07
CCCCC,CCCCCCCCCC, 298, 0.9008, 4.1760475297060665e-07
CCCCC,CCCCCCCCCC, 298, 1.0, 3.5895950035413047e-07
CCCCC,CCCCCCCCCCC, 298, 0.0, 1.4723618090452264e-06
CCCCC,CCCCCCCCCCC, 298, 0.0962, 1.320718575982706e-06
CCCCC,CCCCCCCCCCC, 298, 0.1826, 1.2132494897677754e-06
CCCCC,CCCCCCCCCCC, 298, 0.274, 1.0915140041204966e-06
CCCCC,CCCCCCCCCCC, 298, 0.368, 9.771886126004419e-07
CCCCC,CCCCCCCCCCC, 298, 0.4834, 8.321904108806217e-07
CCCCC,CCCCCCCCCCC, 298, 0.5738, 7.329365251770431e-07
CCCCC,CCCCCCCCCCC, 298, 0.6599, 6.368780774601308e-07
CCCCC,CCCCCCCCCCC, 298, 0.7461, 5.579649458634923e-07
CCCCC,CCCCCCCCCCC, 298, 0.8967, 4.3595840910150604e-07
CCCCC,CCCCCCCCCCC, 298, 1.0, 3.5895950035413047e-07
CCCCC,CCCCCCCCCCCC, 298, 0.0, 1.851066400010738e-06
CCCCC,CCCCCCCCCCCC, 298, 0.1094, 1.6162039982133913e-06
CCCCC,CCCCCCCCCCCC, 298, 0.2073, 1.4170001775689447e-06
CCCCC,CCCCCCCCCCCC, 298, 0.299, 1.2611556340262357e-06
CCCCC,CCCCCCCCCCCC, 298, 0.4078, 1.07779827798278e-06
CCCCC,CCCCCCCCCCCC, 298, 0.5008, 9.376947040498443e-07
CCCCC,CCCCCCCCCCCC, 298, 0.6031, 7.924897771122503e-07
CCCCC,CCCCCCCCCCCC, 298, 0.7069, 6.584960837043894e-07
CCCCC,CCCCCCCCCCCC, 298, 0.8062, 5.466150812169751e-07
CCCCC,CCCCCCCCCCCC, 298, 0.8991, 4.5289855072463777e-07
CCCCC,CCCCCCCCCCCC, 298, 1.0, 3.5895950035413047e-07
CCCCC,CCCCCCCCCCCCCCCC, 298, 0.0, 4.0178223480813694e-06
CCCCC,CCCCCCCCCCCCCCCC, 298, 0.1111, 3.37078504550514e-06
CCCCC,CCCCCCCCCCCCCCCC, 298, 0.2119, 2.865612909189347e-06
CCCCC,CCCCCCCCCCCCCCCC, 298, 0.3099, 2.4216239282047183e-06
CCCCC,CCCCCCCCCCCCCCCC, 298, 0.4166, 1.967740192370042e-06
CCCCC,CCCCCCCCCCCCCCCC, 298, 0.5122, 1.6058854152396086e-06
CCCCC,CCCCCCCCCCCCCCCC, 298, 0.6089, 1.284649153369103e-06
CCCCC,CCCCCCCCCCCCCCCC, 298, 0.7034, 9.9659926862932e-07
CCCCC,CCCCCCCCCCCCCCCC, 298, 0.8034, 7.447322566002374e-07
CCCCC,CCCCCCCCCCCCCCCC, 298, 0.9029, 5.275903559407223e-07
CCCCC,CCCCCCCCCCCCCCCC, 298, 1.0, 3.5895950035413047e-07
CCCCCC,CCCCCCC, 298, 0.0, 5.688221878908262e-07
CCCCCC,CCCCCCC, 298, 0.1059, 5.599114064230343e-07
CCCCCC,CCCCCCC, 298, 0.2067, 5.419580419580419e-07
CCCCCC,CCCCCCC, 298, 0.302, 5.321283648200722e-07
CCCCCC,CCCCCCC, 298, 0.406, 5.198854312736819e-07
CCCCCC,CCCCCCC, 298, 0.5051, 5.1034462109644e-07
CCCCCC,CCCCCCC, 298, 0.6064, 4.966190833959429e-07
CCCCCC,CCCCCCC, 298, 0.704, 4.866976351351351e-07
CCCCCC,CCCCCCC, 298, 0.8008, 4.7280214373306285e-07
CCCCCC,CCCCCCC, 298, 0.8993, 4.674104699945279e-07
CCCCCC,CCCCCCC, 298, 1.0, 4.5598180347138475e-07
CCCCCC,CCCCCCCC, 298, 0.0, 7.293709998424994e-07
CCCCCC,CCCCCCCC, 298, 0.1072, 6.882258969819957e-07
CCCCCC,CCCCCCCC, 298, 0.2073, 6.652006597031337e-07
CCCCCC,CCCCCCCC, 298, 0.3034, 6.419709993164333e-07
CCCCCC,CCCCCCCC, 298, 0.4038, 6.03303246192782e-07
CCCCCC,CCCCCCCC, 298, 0.5101, 5.772005772005772e-07
CCCCCC,CCCCCCCC, 298, 0.6111, 5.479228728528448e-07
CCCCCC,CCCCCCCC, 298, 0.7056, 5.235680190930787e-07
CCCCCC,CCCCCCCC, 298, 0.805, 4.997145346915473e-07
CCCCCC,CCCCCCCC, 298, 0.9018, 4.801913498947879e-07
CCCCCC,CCCCCCCC, 298, 1.0, 4.5598180347138475e-07
CCCCCC,CCCCCCCCC, 298, 0.0, 9.246935201401051e-07
CCCCCC,CCCCCCCCC, 298, 0.1073, 8.616022333135943e-07
CCCCCC,CCCCCCCCC, 298, 0.21, 8.079073595776687e-07
CCCCCC,CCCCCCCCC, 298, 0.2873, 7.65642386373363e-07
CCCCCC,CCCCCCCCC, 298, 0.4024, 7.217251201196882e-07
CCCCCC,CCCCCCCCC, 298, 0.5044, 6.565055977724926e-07
CCCCCC,CCCCCCCCC, 298, 0.6074, 6.144932625203003e-07
CCCCCC,CCCCCCCCC, 298, 0.7035, 5.7191785877733e-07
CCCCCC,CCCCCCCCC, 298, 0.804, 5.290555456118369e-07
CCCCCC,CCCCCCCCC, 298, 0.9035, 4.935366607840476e-07
CCCCCC,CCCCCCCCC, 298, 1.0, 4.5598180347138475e-07
CCCCCC,CCCCCCCCCC, 298, 0.0, 1.1646702464546332e-06
CCCCCC,CCCCCCCCCC, 298, 0.1074, 1.082598569289636e-06
CCCCCC,CCCCCCCCCC, 298, 0.2074, 1.0027365129007038e-06
CCCCCC,CCCCCCCCCC, 298, 0.3029, 9.163408253396721e-07
CCCCCC,CCCCCCCCCC, 298, 0.4046, 8.293022002184614e-07
CCCCCC,CCCCCCCCCC, 298, 0.5041, 7.609271428366905e-07
CCCCCC,CCCCCCCCCC, 298, 0.6061, 6.95097429369132e-07
CCCCCC,CCCCCCCCCC, 298, 0.7053, 6.344910319805716e-07
CCCCCC,CCCCCCCCCC, 298, 0.8034, 5.615547556622081e-07
CCCCCC,CCCCCCCCCC, 298, 0.9036, 5.05665254109939e-07
CCCCCC,CCCCCCCCCC, 298, 1.0, 4.5598180347138475e-07
CCCCCC,CCCCCCCCCCC, 298, 0.0, 1.4723618090452264e-06
CCCCCC,CCCCCCCCCCC, 298, 0.1036, 1.3167790190474887e-06
CCCCCC,CCCCCCCCCCC, 298, 0.1988, 1.20634570893467e-06
CCCCCC,CCCCCCCCCCC, 298, 0.2999, 1.0756689950146505e-06
CCCCCC,CCCCCCCCCCC, 298, 0.4051, 9.720839584414126e-07
CCCCCC,CCCCCCCCCCC, 298, 0.5076, 8.628262163157745e-07
CCCCCC,CCCCCCCCCCC, 298, 0.606, 7.723495702005731e-07
